ID,Player,Team,Date,Opp,Fantasy_Score,predictions_2019
348,Irving,Boston Celtics,1/19/2019,ATL,42,30.88523864
349,Irving,Boston Celtics,1/21/2019,MIA,30,29.54785714
350,Irving,Boston Celtics,1/26/2019,GSW,40,28.10027507
351,Irving,Boston Celtics,2/1/2019,NYK,27,25.45237428
352,Irving,Boston Celtics,2/3/2019,OKC,32,25.1020671
353,Irving,Boston Celtics,2/7/2019,LAL,28,27.09060462
354,Irving,Boston Celtics,2/9/2019,LAC,16,25.98475433
355,Irving,Boston Celtics,2/21/2019,MIL,30,31.93785259
356,Irving,Boston Celtics,2/23/2019,CHI,43,29.97544048
357,Irving,Boston Celtics,2/26/2019,TOR,9,29.78832179
358,Irving,Boston Celtics,2/27/2019,POR,37,27.14386742
359,Irving,Boston Celtics,3/1/2019,WAS,15,28.32923755
360,Irving,Boston Celtics,3/3/2019,HOU,30,29.70071212
361,Irving,Boston Celtics,3/5/2019,GSW,23,31.87862554
362,Irving,Boston Celtics,3/9/2019,LAL,40,25.54175338
363,Irving,Boston Celtics,3/11/2019,LAC,22,26.88223214
364,Irving,Boston Celtics,3/14/2019,SAC,33,29.25961399
365,Irving,Boston Celtics,3/16/2019,ATL,38,29.51570833
366,Irving,Boston Celtics,3/18/2019,DEN,34,28.08229167
367,Irving,Boston Celtics,3/20/2019,PHI,42,31.26054167
368,Irving,Boston Celtics,3/23/2019,CHO,39,29.57961851
369,Irving,Boston Celtics,3/24/2019,SAS,13,28.74869048
370,Irving,Boston Celtics,3/29/2019,IND,36,28.95258333
371,Irving,Boston Celtics,4/1/2019,MIA,35,29.98527381
372,Irving,Boston Celtics,4/3/2019,MIA,29,29.93507301
373,Irving,Boston Celtics,4/5/2019,IND,19,29.40880556
374,Morris,Boston Celtics,10/19/2018,TOR,12,20.82456626
375,Morris,Boston Celtics,10/20/2018,NYK,20,18.72148748
376,Morris,Boston Celtics,10/22/2018,ORL,7,17.47385164
377,Morris,Boston Celtics,10/25/2018,OKC,29,16.94185239
378,Morris,Boston Celtics,10/27/2018,DET,24,18.19368433
379,Morris,Boston Celtics,10/30/2018,DET,19,19.03832468
380,Morris,Boston Celtics,11/1/2018,MIL,27,12.96991377
381,Morris,Boston Celtics,11/3/2018,IND,31,19.3034694
382,Morris,Boston Celtics,11/5/2018,DEN,6,20.65399228
383,Morris,Boston Celtics,11/8/2018,PHO,21,17.82263233
384,Morris,Boston Celtics,11/9/2018,UTA,20,19.88333555
385,Morris,Boston Celtics,11/11/2018,POR,19,20.19950613
386,Morris,Boston Celtics,11/16/2018,TOR,13,15.80441502
387,Morris,Boston Celtics,11/17/2018,UTA,3,13.16896069
388,Morris,Boston Celtics,11/19/2018,CHO,9,15.4814088
389,Morris,Boston Celtics,11/21/2018,NYK,27,13.34432984
390,Morris,Boston Celtics,11/23/2018,ATL,12,19.48273319
391,Morris,Boston Celtics,11/24/2018,DAL,15,18.62134492
392,Morris,Boston Celtics,11/26/2018,NOP,25,21.27905292
393,Morris,Boston Celtics,11/30/2018,CLE,19,21.3934244
394,Morris,Boston Celtics,12/1/2018,MIN,24,16.46403119
395,Morris,Boston Celtics,12/6/2018,NYK,10,13.00230891
396,Morris,Boston Celtics,12/8/2018,CHI,16,15.8872065
397,Morris,Boston Celtics,12/10/2018,NOP,41,15.94537777
398,Morris,Boston Celtics,12/12/2018,WAS,29,17.44366381
399,Morris,Boston Celtics,12/14/2018,ATL,32,17.41585415
400,Morris,Boston Celtics,12/15/2018,DET,9,21.34527852
401,Morris,Boston Celtics,12/23/2018,CHO,16,14.50659488
402,Morris,Boston Celtics,12/25/2018,PHI,29,15.99853742
403,Morris,Boston Celtics,12/27/2018,HOU,25,20.89999091
404,Morris,Boston Celtics,12/29/2018,MEM,30,21.3248236
